CN Code;Description;Conventional rate of duty (%);Supplementary unit;Conventional Rate of duty (%);Note;CAS RN;Name;Chapter;Section;Section Name;Chapter Name
1006 30 25;– – – – – Of a length/width ratio greater than 2 but less than 3;175 €/t (4) (2);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 30 27;– – – – – Of a length/width ratio equal to or greater than 3 (5);175 €/t (4) (2);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 30 29;– – – – Other (5);175 €/t (4) (2);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 30 42;– – – – Round grain;175 €/t (4) (2);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 30 44;– – – – Medium grain;175 €/t (4) (2);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 30 46;– – – – – Of a length/width ratio greater than 2 but less than 3;175 €/t (4) (2);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 30 48;– – – – – Of a length/width ratio equal to or greater than 3 (5);175 €/t (4) (2);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 30 49;– – – – Other (5);175 €/t (4) (2);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 30 61;– – – – Round grain;175 €/t (4) (2);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 30 63;– – – – Medium grain;175 €/t (4) (2);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 30 65;– – – – – Of a length/width ratio greater than 2 but less than 3;175 €/t (4) (2);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 30 67;– – – – – Of a length/width ratio equal to or greater than 3 (5);175 €/t (4) (2);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 30 69;– – – – Other (5);175 €/t (4) (2);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 30 92;– – – – Round grain;175 €/t (4) (2);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 30 94;– – – – Medium grain;175 €/t (4) (2);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 30 96;– – – – – Of a length/width ratio greater than 2 but less than 3;175 €/t (4) (2);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 30 98;– – – – – Of a length/width ratio equal to or greater than 3 (5);175 €/t (4) (2);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 30 99;– – – – Other (5);175 €/t (4) (2);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 40 00;– Broken rice;128 €/t (2);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1007;Grain sorghum:;;;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1007 10;– Seed:;;;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1007 10 10;– – Hybrids (3);►M230  6,4 ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1007 10 90;– – Other;►M230  94 €/t (1) (2) ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1007 90 00;– Other;►M230  94 €/t (1) (2) ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1008;"Buckwheat, millet and canary seed; other cereals:";;;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1008 10 00;– Buckwheat;►M230  37 €/t ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1008 21 00;– – Seed;►M230  56 €/t (2) ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1008 29 00;– – Other;►M230  56 €/t (2) ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1008 30 00;– Canary seed;►M230  Free ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1008 40 00;– Fonio (Digitaria spp.);►M230  37 €/t ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1008 50 00;– Quinoa (Chenopodium quinoa);►M230  37 €/t ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1008 60 00;– Triticale;93 €/t;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1008 90 00;– Other cereals;►M230  37 €/t ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1;2;3;4;;;;;1;I;"LIVE ANIMALS; ANIMAL PRODUCTS";LIVE ANIMALS
1101 00;Wheat or meslin flour:;;;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1101 00 11;– – Of durum wheat;172 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
